2025.04.21.18.56.02 INFO  utils.LoggerHandler - click on accept cookies
2025.04.21.18.56.03 INFO  utils.LoggerHandler - Successfully Hover on Brands
2025.04.21.18.56.05 INFO  utils.LoggerHandler - Successfully click on PawPatrol
2025.04.21.18.56.05 INFO  utils.LoggerHandler - verify the url
2025.04.21.18.56.06 INFO  utils.LoggerHandler - Successfully click on Playsets & Action Figures
2025.04.21.18.56.06 INFO  utils.LoggerHandler - Successfully verifed the text Narrow
2025.04.21.18.56.06 INFO  utils.LoggerHandler - Successfully clicked on Savings
2025.04.21.18.56.11 INFO  utils.LoggerHandler - Successfully clicked on Product
2025.04.21.18.56.11 INFO  utils.LoggerHandler - Successfully verifed the text Available
2025.04.21.18.56.11 INFO  utils.LoggerHandler - Successfully Clicked on Add to Basket
2025.04.21.18.56.14 INFO  utils.LoggerHandler - Succesffully Clicked on CheckOut
2025.04.21.18.56.14 INFO  utils.LoggerHandler - Successfully verifed the text Basket
