2025.04.21.18.37.03 INFO  utils.LoggerHandler - Logo verified
2025.04.21.18.37.04 INFO  utils.LoggerHandler - Clicked on searchBar
2025.04.21.18.37.06 INFO  utils.LoggerHandler - Data entered on searchBar
2025.04.21.18.37.06 INFO  utils.LoggerHandler - Verified Cars
2025.04.21.18.37.07 INFO  utils.LoggerHandler - Clicked on show more
2025.04.21.18.37.07 INFO  utils.LoggerHandler - Clicked on Toy Cars
2025.04.21.18.37.08 INFO  utils.LoggerHandler - Clicked on Imaginative Play
2025.04.21.18.37.08 INFO  utils.LoggerHandler - Clicked on Fine Motor Skill
2025.04.21.18.37.12 INFO  utils.LoggerHandler - Clicked on First Product
2025.04.21.18.37.12 INFO  utils.LoggerHandler - Clicked on Wishlist
