2025.04.21.18.45.08 INFO  utils.LoggerHandler - Logo verified
2025.04.21.18.45.09 INFO  utils.LoggerHandler - Clicked on searchBar
2025.04.21.18.45.12 INFO  utils.LoggerHandler - Data entered on searchBar
2025.04.21.18.45.12 INFO  utils.LoggerHandler - Verified Cars
2025.04.21.18.45.12 INFO  utils.LoggerHandler - Clicked on show more
2025.04.21.18.45.12 INFO  utils.LoggerHandler - Clicked on Toy Cars
2025.04.21.18.45.13 INFO  utils.LoggerHandler - Clicked on Imaginative Play
2025.04.21.18.45.14 INFO  utils.LoggerHandler - Clicked on Fine Motor Skill
2025.04.21.18.45.17 INFO  utils.LoggerHandler - Clicked on First Product
2025.04.21.18.45.17 INFO  utils.LoggerHandler - Clicked on Wishlist
2025.04.21.18.45.26 INFO  utils.LoggerHandler - Clicked on Contact us
2025.04.21.18.45.27 INFO  utils.LoggerHandler - Verified ContactUs URL
2025.04.21.18.45.30 INFO  utils.LoggerHandler - Clicked on Delivery option
2025.04.21.18.45.30 INFO  utils.LoggerHandler - Verified Delivery Option URL
2025.04.21.18.45.35 INFO  utils.LoggerHandler - Clicked on Product Safety Notices
2025.04.21.18.45.35 INFO  utils.LoggerHandler - Verified Product Safety notices URL
2025.04.21.18.45.38 INFO  utils.LoggerHandler - Clicked on Returns
2025.04.21.18.45.38 INFO  utils.LoggerHandler - Verified Returns URL
